"","mun","year","Nombre municipio","Departamento","presencia","Guerrilla","Paramilitaries","Disputa"
"5827",17388,2002,"La Merced","Caldas",3,1,1,1
"5828",17433,2002,"Manzanares","Caldas",3,1,1,1
"5829",17442,2002,"Marmato","Caldas",3,1,1,1
"5830",17444,2002,"Marquetalia","Caldas",1,1,0,0
"5831",17446,2002,"Marulanda","Caldas",1,1,0,0
"5832",17486,2002,"Neira","Caldas",3,1,1,1
"5833",17495,2002,"Norcasia","Caldas",3,1,1,1
"5834",17513,2002,"Pácora","Caldas",3,1,1,1
"5835",17524,2002,"Palestina","Caldas",2,0,1,0
"5836",17541,2002,"Pensilvania","Caldas",3,1,1,1
"5837",17614,2002,"Riosucio","Caldas",1,1,0,0
"5838",17616,2002,"Risaralda","Caldas",1,1,0,0
"5839",17653,2002,"Salamina","Caldas",3,1,1,1
"5840",17662,2002,"Samaná","Caldas",1,1,0,0
"5841",17665,2002,"San José","Caldas",3,1,1,1
"5842",17777,2002,"Supía","Caldas",2,0,1,0
"5843",17867,2002,"Victoria","Caldas",1,1,0,0
"5844",17873,2002,"Villamaría","Caldas",0,0,0,0
"5845",17877,2002,"Viterbo","Caldas",1,1,0,0
"5846",18001,2002,"Florencia","Caquetá",3,1,1,1
"5847",18029,2002,"Albania","Caquetá",1,1,0,0
"5848",18094,2002,"Belén De Los Andaquies","Caquetá",3,1,1,1
"5849",18150,2002,"Cartagena Del Chairá","Caquetá",1,1,0,0
"5850",18205,2002,"Curillo","Caquetá",3,1,1,1
"5851",18247,2002,"El Doncello","Caquetá",3,1,1,1
"5852",18256,2002,"El Paujil","Caquetá",1,1,0,0
"5853",18410,2002,"La Montañita","Caquetá",3,1,1,1
"5854",18460,2002,"Milán","Caquetá",3,1,1,1
"5855",18479,2002,"Morelia","Caquetá",1,1,0,0
"5856",18592,2002,"Puerto Rico","Caquetá",1,1,0,0
"5857",18610,2002,"San José Del Fragua","Caquetá",1,1,0,0
"5858",18753,2002,"San Vicente Del Caguán","Caquetá",1,1,0,0
"5859",18756,2002,"Solano","Caquetá",3,1,1,1
"5860",18785,2002,"Solita","Caquetá",3,1,1,1
"5861",18860,2002,"Valparaíso","Caquetá",3,1,1,1
"5862",19001,2002,"Popayán","Cauca",3,1,1,1
"5863",19022,2002,"Almaguer","Cauca",1,1,0,0
"5864",19050,2002,"Argelia","Cauca",3,1,1,1
"5865",19075,2002,"Balboa","Cauca",3,1,1,1
"5866",19100,2002,"Bolívar","Cauca",1,1,0,0
"5867",19110,2002,"Buenos Aires","Cauca",3,1,1,1
"5868",19130,2002,"Cajibío","Cauca",1,1,0,0
"5869",19137,2002,"Caldono","Cauca",1,1,0,0
"5870",19142,2002,"Caloto","Cauca",3,1,1,1
"5871",19212,2002,"Corinto","Cauca",3,1,1,1
"5872",19256,2002,"El Tambo","Cauca",3,1,1,1
"5873",19290,2002,"Florencia","Cauca",0,0,0,0
"5874",19318,2002,"Guapi","Cauca",0,0,0,0
"5875",19355,2002,"Inzá","Cauca",1,1,0,0
"5876",19364,2002,"Jambaló","Cauca",0,0,0,0
"5877",19392,2002,"La Sierra","Cauca",1,1,0,0
"5878",19397,2002,"La Vega","Cauca",3,1,1,1
"5879",19418,2002,"López","Cauca",0,0,0,0
"5880",19450,2002,"Mercaderes","Cauca",2,0,1,0
"5881",19455,2002,"Miranda","Cauca",3,1,1,1
"5882",19473,2002,"Morales","Cauca",0,0,0,0
"5883",19513,2002,"Padilla","Cauca",0,0,0,0
"5884",19517,2002,"Paez","Cauca",0,0,0,0
"5885",19532,2002,"Patía","Cauca",3,1,1,1
"5886",19533,2002,"Piamonte","Cauca",1,1,0,0
"5887",19548,2002,"Piendamó","Cauca",1,1,0,0
"5888",19573,2002,"Puerto Tejada","Cauca",0,0,0,0
"5889",19585,2002,"Puracé","Cauca",1,1,0,0
"5890",19622,2002,"Rosas","Cauca",1,1,0,0
"5891",19693,2002,"San Sebastián","Cauca",0,0,0,0
"5892",19698,2002,"Santander De Quilichao","Cauca",3,1,1,1
"5893",19701,2002,"Santa Rosa","Cauca",3,1,1,1
