"","mun","year","FARC","AUC","ELN","ERP","ERG","EPL","BACRIM","Guerrilla","Paramilitaries"
"434",23182,1994,0,1,0,0,0,0,0,0,1
"435",23189,1994,0,1,0,0,0,0,0,0,1
"436",23300,1994,0,1,1,0,0,0,0,1,1
"437",23350,1994,0,1,1,0,0,0,0,1,1
"438",23417,1994,0,1,0,0,0,0,0,0,1
"439",23419,1994,0,1,0,0,0,0,0,0,1
"440",23464,1994,0,1,0,0,0,0,0,0,1
"441",23466,1994,1,1,0,0,0,0,0,1,1
"442",23500,1994,0,1,0,0,0,0,0,0,1
"443",23555,1994,1,1,1,0,0,0,0,1,1
"444",23570,1994,0,1,0,0,0,0,0,0,1
"445",23574,1994,0,1,0,0,0,0,0,0,1
"446",23580,1994,1,1,0,0,0,0,0,1,1
"447",23586,1994,0,1,0,0,0,0,0,0,1
"448",23660,1994,0,1,0,0,0,0,0,0,1
"449",23670,1994,0,1,0,0,0,0,0,0,1
"450",23672,1994,0,1,0,0,0,0,0,0,1
"451",23675,1994,0,1,0,0,0,0,0,0,1
"452",23678,1994,0,1,0,0,0,0,0,0,1
"453",23682,1994,0,1,1,0,0,0,0,1,1
"454",23686,1994,0,1,0,0,0,0,0,0,1
"455",23807,1994,1,1,0,0,0,0,0,1,1
"456",23815,1994,0,1,1,0,0,0,0,1,1
"457",23855,1994,1,1,0,0,0,0,0,1,1
"458",25001,1994,0,1,0,0,0,0,0,0,1
"459",25019,1994,1,1,0,0,0,0,0,1,1
"460",25035,1994,0,1,0,0,0,0,0,0,1
"461",25040,1994,0,1,0,0,0,0,0,0,1
"462",25053,1994,1,1,0,0,0,0,0,1,1
"463",25086,1994,1,1,0,0,0,0,0,1,1
"464",25095,1994,0,1,0,0,0,0,0,0,1
"465",25099,1994,0,1,0,0,0,0,0,0,1
"466",25120,1994,1,1,0,0,0,0,0,1,1
"467",25123,1994,0,1,0,0,0,0,0,0,1
"468",25126,1994,0,1,0,0,0,0,0,0,1
"469",25148,1994,1,1,0,0,0,0,0,1,1
"470",25151,1994,0,1,0,0,0,0,0,0,1
"471",25154,1994,0,1,0,0,0,0,0,0,1
"472",25168,1994,0,1,0,0,0,0,0,0,1
"473",25175,1994,0,1,0,0,0,0,0,0,1
"474",25178,1994,1,1,0,0,0,0,0,1,1
"475",25181,1994,0,1,0,0,0,0,0,0,1
"476",25183,1994,0,1,0,0,0,0,0,0,1
"477",25200,1994,0,1,0,0,0,0,0,0,1
"478",25214,1994,0,1,0,0,0,0,0,0,1
"479",25224,1994,0,1,0,0,0,0,0,0,1
"480",25245,1994,0,1,0,0,0,0,0,0,1
"481",25258,1994,1,1,0,0,0,0,0,1,1
"482",25260,1994,0,1,1,0,0,0,0,1,1
"483",25269,1994,0,1,0,0,0,0,0,0,1
"484",25279,1994,0,1,0,0,0,0,0,0,1
"485",25281,1994,1,1,0,0,0,0,0,1,1
"486",25286,1994,0,1,0,0,0,0,0,0,1
"487",25288,1994,0,1,0,0,0,0,0,0,1
"488",25290,1994,1,1,0,0,0,0,0,1,1
"489",25293,1994,1,1,0,0,0,0,0,1,1
"490",25295,1994,0,1,0,0,0,0,0,0,1
"491",25297,1994,0,1,0,0,0,0,0,0,1
"492",25299,1994,0,1,0,0,0,0,0,0,1
"493",25307,1994,0,1,0,0,0,0,0,0,1
"494",25312,1994,0,1,1,0,0,0,0,1,1
"495",25317,1994,0,1,0,0,0,0,0,0,1
"496",25320,1994,1,1,0,0,0,0,0,1,1
"497",25322,1994,0,1,0,0,0,0,0,0,1
"498",25324,1994,1,1,0,0,0,0,0,1,1
"499",25326,1994,0,1,0,0,0,0,0,0,1
"500",25328,1994,0,1,0,0,0,0,0,0,1
"501",25335,1994,1,1,0,0,0,0,0,1,1
"502",25339,1994,1,1,0,0,0,0,0,1,1
"503",25368,1994,0,1,0,0,0,0,0,0,1
"504",25372,1994,1,1,0,0,0,0,0,1,1
"505",25377,1994,1,1,0,0,0,0,0,1,1
"506",25386,1994,1,1,0,0,0,0,0,1,1
"507",25394,1994,1,1,0,0,0,0,0,1,1
