mun,year,FARC,ELN,AUC,Guerrilla,Paramilitaries
19418,1989,0,0,0,0,0
19450,1989,0,0,0,0,0
19455,1989,0,0,0,0,0
19473,1989,0,0,0,0,0
19513,1989,0,0,0,0,0
19517,1989,0,0,0,0,0
19532,1989,0,0,0,0,0
19533,1989,0,0,0,0,0
19548,1989,0,0,0,0,0
19573,1989,0,0,0,0,0
19585,1989,0,0,0,0,0
19622,1989,0,0,0,0,0
19693,1989,1,0,0,1,0
19698,1989,0,0,0,0,0
19701,1989,0,0,0,0,0
19743,1989,0,0,0,0,0
19760,1989,0,0,0,0,0
19780,1989,0,0,0,0,0
19785,1989,0,0,0,0,0
19807,1989,0,0,0,0,0
19809,1989,0,0,0,0,0
19821,1989,0,0,0,0,0
19824,1989,0,0,0,0,0
19845,1989,0,0,0,0,0
20001,1989,0,0,0,0,0
20011,1989,0,0,0,0,0
20013,1989,1,0,0,1,0
20032,1989,0,0,0,0,0
20045,1989,0,0,0,0,0
20060,1989,0,0,0,0,0
20175,1989,0,0,0,0,0
20178,1989,0,0,0,0,0
20228,1989,0,0,0,0,0
20238,1989,0,0,0,0,0
20250,1989,0,0,0,0,0
20295,1989,0,0,0,0,0
20310,1989,0,0,0,0,0
20383,1989,0,0,0,0,0
20400,1989,0,0,0,0,0
20443,1989,0,0,0,0,0
20517,1989,0,0,0,0,0
20550,1989,0,0,0,0,0
20570,1989,0,0,0,0,0
20614,1989,0,0,0,0,0
20621,1989,0,0,0,0,0
20710,1989,0,1,0,1,0
20750,1989,0,0,0,0,0
20770,1989,0,0,0,0,0
20787,1989,0,0,0,0,0
23001,1989,0,0,1,0,1
23068,1989,0,0,0,0,0
23079,1989,0,0,0,0,0
23090,1989,0,0,0,0,0
23162,1989,0,0,0,0,0
23168,1989,0,0,0,0,0
23182,1989,0,0,0,0,0
23189,1989,0,0,0,0,0
23300,1989,0,0,0,0,0
23350,1989,0,0,0,0,0
23417,1989,0,0,0,0,0
23419,1989,0,0,0,0,0
23464,1989,0,0,0,0,0
23466,1989,0,0,0,0,0
23500,1989,0,0,0,0,0
23555,1989,0,0,0,0,0
23570,1989,0,0,0,0,0
23574,1989,0,0,0,0,0
23580,1989,0,0,0,0,0
23586,1989,0,0,0,0,0
