"","mun","year","AUC","FARC","Paramilitaries","Guerrilla"
"406",19693,1988,NA,0,0,0
"407",19698,1988,NA,1,1,1
"408",19701,1988,NA,0,0,0
"409",19743,1988,NA,1,1,1
"410",19760,1988,NA,1,1,1
"411",19780,1988,NA,0,0,0
"412",19785,1988,NA,0,0,0
"413",19807,1988,NA,0,1,1
"414",19809,1988,NA,0,0,0
"415",19821,1988,NA,0,0,1
"416",19824,1988,NA,0,0,1
"417",19845,1988,NA,0,0,0
"418",20001,1988,NA,1,1,1
"419",20011,1988,NA,0,1,1
"420",20013,1988,NA,0,1,1
"421",20032,1988,NA,0,0,0
"422",20045,1988,NA,1,1,1
"423",20060,1988,NA,0,0,1
"424",20175,1988,NA,0,1,1
"425",20178,1988,NA,0,0,1
"426",20228,1988,NA,1,1,1
"427",20238,1988,NA,0,0,0
"428",20250,1988,NA,0,1,0
"429",20295,1988,NA,0,0,1
"430",20310,1988,NA,0,0,1
"431",20383,1988,NA,0,0,1
"432",20400,1988,NA,0,1,1
"433",20443,1988,NA,0,0,0
"434",20517,1988,NA,0,1,1
"435",20550,1988,NA,0,1,1
"436",20570,1988,NA,0,0,0
"437",20614,1988,NA,0,0,0
"438",20621,1988,NA,1,1,1
"439",20710,1988,NA,1,1,1
"440",20750,1988,NA,0,0,0
"441",20770,1988,NA,1,1,1
"442",20787,1988,NA,0,0,1
"443",23001,1988,NA,1,1,1
"444",23068,1988,NA,1,1,1
"445",23079,1988,NA,0,1,1
"446",23090,1988,NA,0,1,1
"447",23162,1988,NA,0,1,1
"448",23168,1988,NA,0,0,0
"449",23182,1988,NA,0,1,0
"450",23189,1988,NA,0,1,0
"451",23300,1988,NA,0,0,0
"452",23350,1988,NA,0,0,0
"453",23417,1988,NA,0,1,0
"454",23419,1988,NA,0,0,0
"455",23464,1988,NA,0,0,0
"456",23466,1988,NA,0,1,1
"457",23500,1988,NA,0,0,0
"458",23555,1988,NA,0,1,1
"459",23570,1988,NA,1,0,1
"460",23574,1988,NA,0,1,1
"461",23580,1988,NA,0,1,0
"462",23586,1988,NA,0,0,0
"463",23660,1988,NA,1,1,1
"464",23670,1988,NA,0,0,0
"465",23672,1988,NA,0,0,1
"466",23675,1988,NA,0,0,0
"467",23678,1988,NA,0,1,0
"468",23682,1988,NA,0,0,0
"469",23686,1988,NA,0,1,1
"470",23807,1988,NA,1,1,1
"471",23815,1988,NA,0,0,0
"472",23855,1988,NA,0,1,1
"473",25001,1988,NA,0,0,0
"474",25019,1988,NA,0,0,0
"475",25035,1988,NA,0,0,0
"476",25040,1988,NA,0,1,0
"477",25053,1988,NA,1,1,1
"478",25086,1988,NA,0,0,0
"479",25095,1988,NA,0,0,0
"480",25099,1988,NA,0,0,0
"481",25120,1988,NA,1,1,1
"482",25123,1988,NA,0,0,0
"483",25126,1988,NA,0,0,0
"484",25148,1988,NA,0,0,0
"485",25151,1988,NA,0,0,0
"486",25154,1988,NA,0,0,0
"487",25168,1988,NA,0,0,0
"488",25175,1988,NA,0,1,0
"489",25178,1988,NA,0,0,0
"490",25181,1988,NA,0,0,0
"491",25183,1988,NA,0,0,0
"492",25200,1988,NA,0,0,0
"493",25214,1988,NA,0,1,0
"494",25224,1988,NA,0,0,0
"495",25245,1988,NA,0,0,0
"496",25258,1988,NA,1,1,1
"497",25260,1988,NA,0,0,0
"498",25269,1988,NA,0,1,0
"499",25279,1988,NA,0,0,0
"500",25281,1988,NA,0,0,0
"501",25286,1988,NA,0,0,0
"502",25288,1988,NA,0,0,1
"503",25290,1988,NA,0,0,0
"504",25293,1988,NA,0,0,0
"505",25295,1988,NA,0,0,0
"506",25297,1988,NA,0,0,0
"507",25299,1988,NA,0,0,0
"508",25307,1988,NA,0,1,0
"509",25312,1988,NA,0,0,0
"510",25317,1988,NA,0,0,0
"511",25320,1988,NA,0,1,0
"512",25322,1988,NA,0,0,0
"513",25324,1988,NA,0,0,0
"514",25326,1988,NA,0,0,0
"515",25328,1988,NA,0,0,0
"516",25335,1988,NA,0,0,0
"517",25339,1988,NA,0,0,0
"518",25368,1988,NA,0,0,0
"519",25372,1988,NA,0,0,0
"520",25377,1988,NA,0,0,0
"521",25386,1988,NA,0,1,0
"522",25394,1988,NA,0,0,0
"523",25394,1988,NA,0,0,0
"524",25398,1988,NA,0,0,0
"525",25402,1988,NA,0,0,0
"526",25407,1988,NA,0,0,0
"527",25426,1988,NA,0,0,0
"528",25430,1988,NA,0,0,0
"529",25436,1988,NA,0,0,0
"530",25438,1988,NA,1,1,1
"531",25473,1988,NA,0,1,0
"532",25483,1988,NA,0,0,0
"533",25486,1988,NA,0,0,0
"534",25488,1988,NA,0,0,0
"535",25489,1988,NA,0,0,0
"536",25491,1988,NA,0,0,0
"537",25506,1988,NA,0,0,0
"538",25513,1988,NA,0,0,0
"539",25518,1988,NA,0,0,0
"540",25524,1988,NA,0,0,0
"541",25530,1988,NA,0,0,0
"542",25535,1988,NA,0,0,0
"543",25572,1988,NA,0,1,0
"544",25580,1988,NA,0,0,0
"545",25592,1988,NA,0,0,0
"546",25594,1988,NA,0,0,0
"547",25596,1988,NA,0,0,0
"548",25599,1988,NA,0,0,0
"549",25612,1988,NA,0,0,0
"550",25645,1988,NA,0,0,0
"551",25649,1988,NA,0,0,0
"552",25653,1988,NA,0,0,0
"553",25658,1988,NA,0,0,0
"554",25662,1988,NA,0,1,0
"555",25718,1988,NA,0,0,0
"556",25736,1988,NA,0,1,0
"557",25740,1988,NA,0,0,0
"558",25743,1988,NA,0,0,0
"559",25745,1988,NA,0,0,0
"560",25754,1988,NA,0,1,1
"561",25758,1988,NA,0,0,0
"562",25769,1988,NA,0,0,0
"563",25772,1988,NA,0,0,0
"564",25777,1988,NA,0,0,0
"565",25779,1988,NA,0,0,0
"566",25781,1988,NA,0,0,0
"567",25785,1988,NA,0,0,0
"568",25793,1988,NA,0,0,0
"569",25797,1988,NA,0,0,0
"570",25799,1988,NA,0,0,0
"571",25805,1988,NA,0,0,0
"572",25807,1988,NA,0,0,0
"573",25815,1988,NA,0,0,0
"574",25817,1988,NA,0,0,0
"575",25823,1988,NA,0,0,0
"576",25839,1988,NA,0,0,0
"577",25841,1988,NA,0,0,0
"578",25843,1988,NA,0,0,0
"579",25845,1988,NA,0,0,0
"580",25851,1988,NA,0,0,0
"581",25862,1988,NA,0,0,0
"582",25867,1988,NA,0,0,0
"583",25871,1988,NA,0,0,0
"584",25873,1988,NA,0,0,0
"585",25875,1988,NA,0,0,0
"586",25878,1988,NA,0,0,0
"587",25885,1988,NA,0,0,0
"588",25898,1988,NA,0,0,0
"589",25899,1988,NA,0,0,0
"590",25999,1988,NA,0,0,0
"591",27001,1988,NA,1,1,1
"592",27006,1988,NA,1,1,1
"593",27025,1988,NA,0,0,0
"594",27050,1988,NA,0,0,0
"595",27073,1988,NA,0,0,0
"596",27075,1988,NA,0,0,0
"597",27077,1988,NA,0,0,0
"598",27082,1988,NA,0,0,0
"599",27086,1988,NA,0,0,0
